WSI,NAME,LNG,LAT
0-203-0-10501057001,Semily,15.315007,50.613006
0-203-0-10501059001,"Bedřichov, Nová louka",15.158215,50.81445
0-203-0-10501060001,Josefův Důl,15.22859,50.778185
0-203-0-10501063001,Smržovka,15.2511,50.7294
0-203-0-10501078001,Vysoké nad Jizerou,15.408523,50.682981
0-203-0-10502005001,Železný Brod,15.2517,50.6408
0-203-0-10502047001,Všelibice,14.950609,50.648954
0-203-0-10502049001,Jivina,14.9492,50.5539
0-203-0-10502050001,"Boseň, Mužský",15.0404,50.5222
0-203-0-10502072001,Bakov nad Jizerou,14.9391,50.4804
0-203-0-10502085001,Dolní Bousov,15.141737,50.437897
0-203-0-10502101001,Mladá Boleslav,14.91405,50.42267
0-203-0-10503002001,Katusice,14.779398,50.444653
0-203-0-10503012001,Chotětov,14.810102,50.337419
0-203-0-10503013001,Brodce,14.8661,50.3347
0-203-0-10504033001,"Bašť, Baštěk",14.4622,50.205
0-203-0-10504037001,Mšeno,14.63399,50.44061
0-203-0-10504048001,"Kropáčova Vrutice, Střížovice",14.7046,50.3255
0-203-0-10601002002,Kvilda,13.5792,49.0192
0-203-0-10601011001,Borová Lada,13.661958,48.99055
0-203-0-10601029001,Strážný,13.7206847,48.9054436
0-203-0-10601040001,Volary,13.896111,48.901667
0-203-0-10601050001,Stožec,13.8217247,48.8570531
0-203-0-10601064001,"Jelení, Nová Pec",13.8896103,48.8032344
0-203-0-10601115201,Lipno,14.2383,48.6336
0-203-0-10601144001,Rožmitál na Šumavě,14.391111,48.697778
0-203-0-10601152001,Slavkov,14.2431344,48.7642081
0-203-0-10601176001,Chvalšiny,14.208611,48.854722
0-203-0-10601188001,Přídolí,14.3564461,48.7814842
0-203-0-10601195001,"Ktiš, Tisovka",14.1059625,48.9035069
0-203-0-10601197001,Brloh,14.2187506,48.9269169
0-203-0-10601205001,"Křemže, Mříč",14.3305394,48.9075594
0-203-0-10601208001,Kleť,14.2846839,48.863975
0-203-0-10602007001,Dolní Dvořiště,14.4604581,48.6583611
0-203-0-10602014001,Malonty,14.5802869,48.6854828
0-203-0-10602027001,"Staré Hutě, Hojná Voda",14.723333,48.72333333
0-203-0-10602028001,Benešov nad Černou,14.6283,48.7311
0-203-0-10602029002,Pohorská Ves,14.6489614,48.6701047
0-203-0-10602032201,Soběnov,14.5355644,48.7476228
0-203-0-10602036001,Netřebice,14.4535261,48.7925114
0-203-0-10602062001,Trhové Sviny,14.6372439,48.8455767
0-203-0-10602066001,Besednice,14.5549319,48.7915
0-203-0-10602076001,Kamenný Újezd,14.4526111,48.8962475
0-203-0-10603048001,Němčice,14.2714,49.0308
0-203-0-10603060001,Hluboká nad Vltavou,14.4334833,49.0536578
0-203-0-10702007001,Hranice,14.8469519,48.8188419
0-203-0-10702010001,Suchdol nad Lužnicí,14.8669,48.8928
0-203-0-10702020001,Nová Bystřice,15.0986103,49.0190528
0-203-0-10702028001,Chlum u Třeboně,14.9351097,48.9581153
0-203-0-10702037001,Lipnice,14.7651161,48.9109033
0-203-0-10702039001,Ledenice,14.6184119,48.9334328
0-203-0-10702060001,Ševětín,14.56552,49.1000267
0-203-0-10703011001,"Kamenice nad Lipou, Vodná",15.0633,49.2831
0-203-0-10703017001,Nová Včelnice,15.0685064,49.2229981
0-203-0-10703027001,Lodhéřov,14.9622222,49.2131911
0-203-0-10703036001,Strmilov,15.2067203,49.1630636
0-203-0-10703057001,Stráž nad Nežárkou,14.9129792,49.0669992
0-203-0-10703073001,Kardašova Řečice,14.8558,49.1864
0-203-0-10704001001,Veselí nad Lužnicí,14.7095372,49.1855297
0-203-0-10704035001,Tučapy,14.8017,49.2919
0-203-0-10704035001,Tučapy,14.8017,49.2919
0-203-0-10704050001,Planá nad Lužnicí,14.6969,49.3533
0-203-0-10704056001,Chýnov,14.8120983,49.4083044
0-203-0-10704084001,Olší,14.5099342,49.4362272
0-203-0-10704094001,Jistebnice,14.529167,49.484444
0-203-0-10704104001,Milevsko,14.368611,49.452778
0-203-0-10704117001,Bernartice,14.3893392,49.3662453
0-203-0-10705023001,"Kovářov, Vepice",14.301389,49.525278
0-203-0-10801005002,Filipova Huť,13.5197133,49.0298283
0-203-0-10801017001,"Srní, Vchynice - Tetov I",13.5041194,49.0606156
0-203-0-10801028001,Prášily,13.3786,49.1069
0-203-0-10801058001,Zámyšl,13.374402,49.22629
0-203-0-10801069001,Čachrov,13.301694,49.264136
0-203-0-10801086001,Strašín,13.6413978,49.1779189
0-203-0-10801100001,Nalžovské Hory,13.5486,49.3347
0-203-0-10801117001,Chanovice,13.7176939,49.4031031
0-203-0-10801119001,"Horažďovická Lhota, Smrkovec",13.5981892,49.3398103
0-203-0-10801125001,Katovice,13.8319189,49.2705208
0-203-0-10802004001,Kubova Huť,13.771537,48.986168
0-203-0-10802009001,Vimperk,13.7824278,49.0657822
0-203-0-10802017001,"Vacov, Peckov",13.7263994,49.1352075
0-203-0-10802028001,Zálezly,13.8931481,49.1075389
0-203-0-10802038001,"Volyně, Nihošovice",13.8612525,49.1854894
0-203-0-10802067001,Kestřany,14.0736942,49.2678992
0-203-0-10802073001,Sedlice,13.9416925,49.3756828
0-203-0-10803008001,Zbytiny,13.9691961,48.92618
0-203-0-10803031001,Prachatice,13.9934122,49.0073094
0-203-0-10803062001,Bavorov,14.089722,49.123889
0-203-0-10803089001,Paseky,14.2682417,49.2497158
0-203-0-10804001001,"Radošice, Mladý Smolivec",13.7266981,49.5023517
0-203-0-10804016002,Závišín,13.923056,49.487222
0-203-0-10804044001,Březnice,13.9461,49.5542
0-203-0-10804052001,Tochovice,14.004167,49.591667
0-203-0-10804062001,Krsice,14.0730208,49.4849553
0-203-0-10805001001,Orlík nad Vltavou,14.1683553,49.5033544
0-203-0-10805038001,"Nečín, Bělohrad",14.2017,49.7067
0-203-0-10805047001,Střezimíř,14.6181,49.5381
0-203-0-10805078001,Jablonná,14.452009,49.780786
0-203-0-10805107001,Voznice,14.212691,49.819169
0-203-0-10901004001,"Žďár nad Sázavou, Stržanov",15.936455,49.597833
0-203-0-10901012001,Nížkov,15.8067,49.5325
0-203-0-10901046001,Polná,15.7061,49.4864
0-203-0-10901060001,Štoky,15.590799,49.501462
0-203-0-10901104001,Habry,15.486748,49.751989
0-203-0-10901110001,Světlá nad Sázavou,15.4075,49.6728
0-203-0-10901114001,Humpolec,15.352715,49.54701
0-203-0-10901127001,Ledeč nad Sázavou,15.284048,49.698597
0-203-0-10901134001,Bohdaneč,15.223688,49.778642
0-203-0-10901141001,"Řendějov, Nový Samechov",15.08814,49.76873
0-203-0-10902001001,Božejov,15.152789,49.360705
0-203-0-10902018001,Pelhřimov,15.2339531,49.4331428
0-203-0-10902055001,Pacov,15.02348,49.46355
0-203-0-10902100001,"Dolní Kralovice, Střítež",15.159775,49.66272
0-203-0-10903033001,Mladá Vožice,14.808259,49.537459
0-203-0-10903055001,Načeradec,14.9086,49.6044
0-203-0-10903058001,Veliš,14.8233,49.6664
0-203-0-10903065001,Vlašim,14.894545,49.691749
0-203-0-10903081001,Postupice,14.7833,49.7306
0-203-0-10903094001,Teplýšovice,14.8038,49.8067
0-203-0-10903100001,"Čekanov, Úžice",14.95468,49.88332
0-203-0-10903144001,Votice,14.6333,49.6433
